"","bee.species","plant.species","max_prob","bee.names","plant.names"
"177","10","30",0,"Andrena gnaphalii","Helianthus annuus"
"178","10","31",0,"Andrena gnaphalii","Helminthotheca echioides"
"179","10","32",0.0062,"Andrena gnaphalii","Heterotheca grandiflora"
"180","10","33",0.0053,"Andrena gnaphalii","Layia platyglossa"
"181","10","34",0,"Andrena gnaphalii","Lepidospartum squamatum"
"182","10","35",0,"Andrena gnaphalii","Pseudognaphalium beneolens"
"183","10","36",9e-04,"Andrena gnaphalii","Pseudognaphalium biolettii"
"184","10","37",0.0015,"Andrena gnaphalii","Pseudognaphalium californicum"
"185","10","38",0.0012,"Andrena gnaphalii","Pseudognaphalium luteoalbum"
"186","10","39",0,"Andrena gnaphalii","Pseudognaphalium microcephalum"
"187","10","4",6e-04,"Andrena gnaphalii","Mesembryanthemum nodiflorum"
"188","10","40",0,"Andrena gnaphalii","Pseudognaphalium ramosissimum"
"189","10","41",0.0056,"Andrena gnaphalii","Pseudognaphalium stramineum"
"190","10","42",0.0068,"Andrena gnaphalii","Sonchus asper subsp. asper"
"191","10","43",0.0062,"Andrena gnaphalii","Sonchus oleraceus"
"192","10","44",8e-04,"Andrena gnaphalii","Stephanomeria cichoriacea"
"193","10","45",0,"Andrena gnaphalii","Stephanomeria diegensis"
"194","10","46",0,"Andrena gnaphalii","Stephanomeria exigua ssp. coronaria"
"195","10","47",0,"Andrena gnaphalii","Stephanomeria virgata subsp. virgata"
"196","10","48",0,"Andrena gnaphalii","Symphyotrichum chilense"
"197","10","49",0,"Andrena gnaphalii","Symphyotrichum subulatum"
"198","10","5",0.0014,"Andrena gnaphalii","Rhus integrifolia"
"199","10","50",0.0056,"Andrena gnaphalii","Venegasia carpesioides"
"200","10","51",0.0054,"Andrena gnaphalii","Brassica nigra"
"201","10","52",0.0064,"Andrena gnaphalii","Brassica rapa"
"202","10","53",0.001,"Andrena gnaphalii","Cakile maritima"
"203","10","54",0.002,"Andrena gnaphalii","Hirschfeldia incana"
"204","10","55",0.0013,"Andrena gnaphalii","Cylindropuntia prolifera"
"205","10","56",0,"Andrena gnaphalii","Opuntia ficus-indica"
"206","10","57",0.0045,"Andrena gnaphalii","Opuntia littoralis"
"207","10","58",0.0072,"Andrena gnaphalii","Opuntia oricola"
"208","10","59",0.0062,"Andrena gnaphalii","Crocanthemum greenei"
"209","10","6",0.0014,"Andrena gnaphalii","Rhus ovata"
"210","10","60",0.0077,"Andrena gnaphalii","Crocanthemum scoparium"
"211","10","61",0.0015,"Andrena gnaphalii","Convolvulus arvensis"
"212","10","62",0.0013,"Andrena gnaphalii","Convolvulus simulans"
"213","10","63",0,"Andrena gnaphalii","Cucurbita foetidissima"
"214","10","64",8e-04,"Andrena gnaphalii","Croton setiger"
"215","10","65",0,"Andrena gnaphalii","Euphorbia maculata"
"216","10","66",9e-04,"Andrena gnaphalii","Euphorbia misera"
"217","10","67",0.0017,"Andrena gnaphalii","Euphorbia peplus"
"218","10","68",0.0062,"Andrena gnaphalii","Euphorbia spathulata"
"219","10","69",9e-04,"Andrena gnaphalii","Lotus corniculatus"
"220","10","7",0.0012,"Andrena gnaphalii","Toxicodendron diversilobum"
"221","10","70",0.0016,"Andrena gnaphalii","Lupinus arboreus"
"222","10","71",4e-04,"Andrena gnaphalii","Lupinus bicolor"
"223","10","72",5e-04,"Andrena gnaphalii","Lupinus concinnus"
"224","10","73",3e-04,"Andrena gnaphalii","Lupinus hirsutissimus"
"225","10","74",4e-04,"Andrena gnaphalii","Lupinus microcarpus var. microcarpus"
"226","10","75",2e-04,"Andrena gnaphalii","Lupinus succulentus"
"227","10","76",4e-04,"Andrena gnaphalii","Lupinus truncatus"
"228","10","77",0.0021,"Andrena gnaphalii","Medicago polymorpha"
"229","10","78",0,"Andrena gnaphalii","Medicago sativa"
"230","10","79",4e-04,"Andrena gnaphalii","Trifolium albopurpureum"
"231","10","8",0.0011,"Andrena gnaphalii","Daucus pusillus"
"232","10","80",4e-04,"Andrena gnaphalii","Trifolium ciliolatum"
"233","10","81",3e-04,"Andrena gnaphalii","Trifolium depauperatum var. truncatum"
"234","10","82",5e-04,"Andrena gnaphalii","Trifolium fucatum"
"235","10","83",1e-04,"Andrena gnaphalii","Trifolium gracilentum"
"236","10","84",3e-04,"Andrena gnaphalii","Trifolium macraei"
"237","10","85",6e-04,"Andrena gnaphalii","Trifolium microcephalum"
"238","10","86",4e-04,"Andrena gnaphalii","Trifolium variegatum var. major"
"239","10","87",2e-04,"Andrena gnaphalii","Trifolium willdenovii"
"240","10","88",0.0013,"Andrena gnaphalii","Frankenia salina"
"241","10","89",0.0011,"Andrena gnaphalii","Phacelia cicutaria var. hispida"
"242","10","9",0.0053,"Andrena gnaphalii","Foeniculum vulgare"
"243","10","90",8e-04,"Andrena gnaphalii","Phacelia distans"
"244","10","91",0.0013,"Andrena gnaphalii","Phacelia grandiflora"
"245","10","92",0.0011,"Andrena gnaphalii","Phacelia hubbyi"
"246","10","93",9e-04,"Andrena gnaphalii","Phacelia ramosissima"
"247","10","94",0.0014,"Andrena gnaphalii","Phacelia viscida var. viscida"
"248","10","95",5e-04,"Andrena gnaphalii","Marrubium vulgare"
"249","10","96",2e-04,"Andrena gnaphalii","Salvia columbariae"
"250","10","97",5e-04,"Andrena gnaphalii","Salvia leucophylla"
"251","10","98",4e-04,"Andrena gnaphalii","Salvia mellifera"
"252","10","99",5e-04,"Andrena gnaphalii","Stachys bullata"
"253","100","1",9e-04,"Lasioglossum perichlarus","Carpobrotus chilensis"
"254","100","10",0.001,"Lasioglossum perichlarus","Asclepias fascicularis"
"255","100","100",5e-04,"Lasioglossum perichlarus","Lythrum californicum"
"256","100","101",1e-04,"Lasioglossum perichlarus","Lythrum hyssopifolia"
"257","100","102",5e-04,"Lasioglossum perichlarus","Abronia maritima"
"258","100","103",4e-04,"Lasioglossum perichlarus","Abronia umbellata var. umbellata"
"259","100","104",0.0016,"Lasioglossum perichlarus","Clarkia davyi"
"260","100","105",7e-04,"Lasioglossum perichlarus","Clarkia epilobioides"
"261","100","106",0.0012,"Lasioglossum perichlarus","Clarkia purpurea subsp. quadrivulnera"
"262","100","107",1e-04,"Lasioglossum perichlarus","Clarkia unguiculata"
"263","100","108",0.0016,"Lasioglossum perichlarus","Oxalis californica"
"264","100","109",0.0012,"Lasioglossum perichlarus","Oxalis corniculata"
"265","100","11",0.0011,"Lasioglossum perichlarus","Achillea millefolium"
"266","100","110",0.0017,"Lasioglossum perichlarus","Oxalis pes-caprae"
"267","100","111",0.0051,"Lasioglossum perichlarus","Dendromecon harfordii"
"268","100","112",0.001,"Lasioglossum perichlarus","Eschscholzia californica"
"269","100","113",3e-04,"Lasioglossum perichlarus","Eschscholzia ramosa"
"270","100","114",2e-04,"Lasioglossum perichlarus","Keckiella cordifolia"
"271","100","115",0,"Lasioglossum perichlarus","Ceanothus arboreus"
"272","100","116",6e-04,"Lasioglossum perichlarus","Heteromeles arbutifolia"
"273","100","117",0.001,"Lasioglossum perichlarus","Rosa californica"
"274","100","118",2e-04,"Lasioglossum perichlarus","Solanum douglasii"
"275","100","119",4e-04,"Lasioglossum perichlarus","Solanum elaeagnifolium"
"276","100","12",9e-04,"Lasioglossum perichlarus","Anthemis cotula"
"277","100","120",2e-04,"Lasioglossum perichlarus","Solanum wallacei"
"278","100","121",8e-04,"Lasioglossum perichlarus","Calochortus albus"
"279","100","122",9e-04,"Lasioglossum perichlarus","Calochortus catalinae"
"280","100","123",0.0051,"Lasioglossum perichlarus","Calochortus luteus"
"281","100","124",0,"Lasioglossum perichlarus","Ceanothus megacarpus var. insularis"
"282","100","125",2e-04,"Lasioglossum perichlarus","Lupinus albifrons var. albifrons"
"283","100","126",2e-04,"Lasioglossum perichlarus","Raphanus raphanistrum"
"284","100","13",0.0055,"Lasioglossum perichlarus","Centaurea benedicta"
"285","100","14",0.0055,"Lasioglossum perichlarus","Centaurea melitensis"
"286","100","15",0.0052,"Lasioglossum perichlarus","Centaurea solstitialis"
"287","100","16",0,"Lasioglossum perichlarus","Cichorium intybus"
"288","100","17",0.0014,"Lasioglossum perichlarus","Cirsium brevistylum"
"289","100","18",0.0012,"Lasioglossum perichlarus","Cirsium occidentale var. californicum"
"290","100","19",0.001,"Lasioglossum perichlarus","Cirsium occidentale var. occidentale"
"291","100","2",0.0047,"Lasioglossum perichlarus","Carpobrotus edulis"
"292","100","20",6e-04,"Lasioglossum perichlarus","Cirsium vulgare"
"293","100","21",7e-04,"Lasioglossum perichlarus","Corethrogyne filaginifolia"
"294","100","22",0.0048,"Lasioglossum perichlarus","Encelia californica"
"295","100","23",0.0011,"Lasioglossum perichlarus","Erigeron bonariensis"
"296","100","24",0.0012,"Lasioglossum perichlarus","Erigeron canadensis"
"297","100","25",9e-04,"Lasioglossum perichlarus","Erigeron foliosus var. foliosus"
"298","100","26",0.0013,"Lasioglossum perichlarus","Erigeron glaucus"
"299","100","27",0,"Lasioglossum perichlarus","Erigeron sanctarum"
"300","100","28",0.0011,"Lasioglossum perichlarus","Erigeron sumatrensis"
"301","100","29",0.005,"Lasioglossum perichlarus","Glebionis coronaria"
"302","100","3",8e-04,"Lasioglossum perichlarus","Mesembryanthemum crystallinum"
"303","100","30",0.004,"Lasioglossum perichlarus","Helianthus annuus"
"304","100","31",0.0045,"Lasioglossum perichlarus","Helminthotheca echioides"
"305","100","32",0.0045,"Lasioglossum perichlarus","Heterotheca grandiflora"
"306","100","33",0.0044,"Lasioglossum perichlarus","Layia platyglossa"
"307","100","34",0,"Lasioglossum perichlarus","Lepidospartum squamatum"
"308","100","35",6e-04,"Lasioglossum perichlarus","Pseudognaphalium beneolens"
"309","100","36",0.0011,"Lasioglossum perichlarus","Pseudognaphalium biolettii"
"310","100","37",0.0012,"Lasioglossum perichlarus","Pseudognaphalium californicum"
"311","100","38",0.0011,"Lasioglossum perichlarus","Pseudognaphalium luteoalbum"
"312","100","39",0,"Lasioglossum perichlarus","Pseudognaphalium microcephalum"
"313","100","4",9e-04,"Lasioglossum perichlarus","Mesembryanthemum nodiflorum"
"314","100","40",0.0014,"Lasioglossum perichlarus","Pseudognaphalium ramosissimum"
"315","100","41",0.0048,"Lasioglossum perichlarus","Pseudognaphalium stramineum"
"316","100","42",0.0041,"Lasioglossum perichlarus","Sonchus asper subsp. asper"
"317","100","43",0.0057,"Lasioglossum perichlarus","Sonchus oleraceus"
"318","100","44",7e-04,"Lasioglossum perichlarus","Stephanomeria cichoriacea"
"319","100","45",0,"Lasioglossum perichlarus","Stephanomeria diegensis"
"320","100","46",0.0011,"Lasioglossum perichlarus","Stephanomeria exigua ssp. coronaria"
"321","100","47",0,"Lasioglossum perichlarus","Stephanomeria virgata subsp. virgata"
"322","100","48",0,"Lasioglossum perichlarus","Symphyotrichum chilense"
"323","100","49",0,"Lasioglossum perichlarus","Symphyotrichum subulatum"
"324","100","5",8e-04,"Lasioglossum perichlarus","Rhus integrifolia"
"325","100","50",0.0063,"Lasioglossum perichlarus","Venegasia carpesioides"
"326","100","51",0.0044,"Lasioglossum perichlarus","Brassica nigra"
"327","100","52",0.0044,"Lasioglossum perichlarus","Brassica rapa"
"328","100","53",0.0014,"Lasioglossum perichlarus","Cakile maritima"
"329","100","54",0.0015,"Lasioglossum perichlarus","Hirschfeldia incana"
"330","100","55",8e-04,"Lasioglossum perichlarus","Cylindropuntia prolifera"
"331","100","56",0,"Lasioglossum perichlarus","Opuntia ficus-indica"
"332","100","57",0.0061,"Lasioglossum perichlarus","Opuntia littoralis"
"333","100","58",0.004,"Lasioglossum perichlarus","Opuntia oricola"
"334","100","59",0.005,"Lasioglossum perichlarus","Crocanthemum greenei"
"335","100","6",0.0018,"Lasioglossum perichlarus","Rhus ovata"
"336","100","60",0.0066,"Lasioglossum perichlarus","Crocanthemum scoparium"
"337","100","61",7e-04,"Lasioglossum perichlarus","Convolvulus arvensis"
"338","100","62",0.0012,"Lasioglossum perichlarus","Convolvulus simulans"
"339","100","63",0.0016,"Lasioglossum perichlarus","Cucurbita foetidissima"
"340","100","64",0.001,"Lasioglossum perichlarus","Croton setiger"
"341","100","65",0.0014,"Lasioglossum perichlarus","Euphorbia maculata"
"342","100","66",6e-04,"Lasioglossum perichlarus","Euphorbia misera"
"343","100","67",6e-04,"Lasioglossum perichlarus","Euphorbia peplus"
"344","100","68",0.0053,"Lasioglossum perichlarus","Euphorbia spathulata"
"345","100","69",0.0015,"Lasioglossum perichlarus","Lotus corniculatus"
"346","100","7",0.0011,"Lasioglossum perichlarus","Toxicodendron diversilobum"
"347","100","70",0.0013,"Lasioglossum perichlarus","Lupinus arboreus"
"348","100","71",2e-04,"Lasioglossum perichlarus","Lupinus bicolor"
"349","100","72",2e-04,"Lasioglossum perichlarus","Lupinus concinnus"
"350","100","73",6e-04,"Lasioglossum perichlarus","Lupinus hirsutissimus"
"351","100","74",1e-04,"Lasioglossum perichlarus","Lupinus microcarpus var. microcarpus"
"352","100","75",3e-04,"Lasioglossum perichlarus","Lupinus succulentus"
"353","100","76",2e-04,"Lasioglossum perichlarus","Lupinus truncatus"
"354","100","77",0.0016,"Lasioglossum perichlarus","Medicago polymorpha"
"355","100","78",2e-04,"Lasioglossum perichlarus","Medicago sativa"
"356","100","79",2e-04,"Lasioglossum perichlarus","Trifolium albopurpureum"
"357","100","8",0.001,"Lasioglossum perichlarus","Daucus pusillus"
"358","100","80",1e-04,"Lasioglossum perichlarus","Trifolium ciliolatum"
"359","100","81",0,"Lasioglossum perichlarus","Trifolium depauperatum var. truncatum"
"360","100","82",5e-04,"Lasioglossum perichlarus","Trifolium fucatum"
"361","100","83",1e-04,"Lasioglossum perichlarus","Trifolium gracilentum"
"362","100","84",1e-04,"Lasioglossum perichlarus","Trifolium macraei"
"363","100","85",5e-04,"Lasioglossum perichlarus","Trifolium microcephalum"
"364","100","86",6e-04,"Lasioglossum perichlarus","Trifolium variegatum var. major"
"365","100","87",3e-04,"Lasioglossum perichlarus","Trifolium willdenovii"
"366","100","88",0.0013,"Lasioglossum perichlarus","Frankenia salina"
"367","100","89",9e-04,"Lasioglossum perichlarus","Phacelia cicutaria var. hispida"
"368","100","9",0.0048,"Lasioglossum perichlarus","Foeniculum vulgare"
"369","100","90",7e-04,"Lasioglossum perichlarus","Phacelia distans"
"370","100","91",0.0014,"Lasioglossum perichlarus","Phacelia grandiflora"
"371","100","92",0.0011,"Lasioglossum perichlarus","Phacelia hubbyi"
"372","100","93",0.0012,"Lasioglossum perichlarus","Phacelia ramosissima"
"373","100","94",9e-04,"Lasioglossum perichlarus","Phacelia viscida var. viscida"
"374","100","95",4e-04,"Lasioglossum perichlarus","Marrubium vulgare"
"375","100","96",1e-04,"Lasioglossum perichlarus","Salvia columbariae"
"376","100","97",2e-04,"Lasioglossum perichlarus","Salvia leucophylla"
"377","100","98",3e-04,"Lasioglossum perichlarus","Salvia mellifera"
"378","100","99",4e-04,"Lasioglossum perichlarus","Stachys bullata"
"379","101","1",7e-04,"Lasioglossum punctatoventre","Carpobrotus chilensis"
"380","101","10",3e-04,"Lasioglossum punctatoventre","Asclepias fascicularis"
