"","genus_species","match","grep"
"135","Bloomeria crocea",0,0
"136","Bloomeria crocea",0,0
"137","Brodiaea jolonensis",0,0
"138","Dichelostemma capitatum",0,0
"139","Dichelostemma capitatum",0,0
"140","Dichelostemma pulchellum",0,0
"141","Acanthoxanthium spinosum",0,0
"142","Achillea",0,1
"143","Achillea millefolium",1,1
"144","Achillea millefolium",1,1
"145","Achyrachaena",0,0
"146","Achyrachaena mollis",0,0
"147","Acmella",0,0
"148","Acourtia microcephala",0,0
"149","Adenostemma lavenia",0,0
"150","Ageratum conyzoides",0,0
"151","Agoseris",0,1
"152","Agoseris grandiflora",0,0
"153","Agoseris grandiflora",0,0
"155","Agoseris heterophylla",0,0
"156","Amblyopappus",0,0
"157","Amblyopappus pusillus",0,0
"158","Ambrosia chamissonis",0,0
"159","Ambrosia chamissonis",0,0
"161","Ambrosia psilostachya",0,0
"162","Amphipappus fremontii",0,0
"163","Anthemis arvensis",0,0
"164","Anthemis cotula",1,1
"165","Artemisia californica",0,0
"166","Artemisia douglasiana",0,0
"167","Aster chilensis",0,0
"168","Aster exilis",0,0
"169","Aster radulinus",0,0
"170","Aster subulatus",0,0
"171","Baccharis douglasii",0,0
"172","Baccharis glutinosa",0,0
"173","Baccharis pilularis",1,1
"174","Baccharis pilularis",1,1
"175","Baccharis plummerae",0,0
"176","Baccharis plummerae",0,0
"177","Baccharis salicifolia",1,1
"179","Bidens pilosa",1,1
"180","Blennosperma nanum",0,0
"181","Blennosperma nanum",0,0
"182","Brickellia californica",1,1
"183","Calendula",0,1
"184","Carduus pycnocephalus",1,1
"185","Centaurea benedicta",0,0
"186","Centaurea melitensis",0,0
"187","Centaurea solstitialis",1,1
"188","Centromadia fitchii",0,0
"189","Chrysanthemum coronarium",0,0
"190","Cichorium intybus",1,1
"191","Cirsium brevistylum",0,0
"192","Cirsium occidentale",0,0
"193","Cirsium occidentale",0,0
"194","Cirsium occidentale",0,0
"195","Cirsium occidentale",0,0
"196","Cirsium vulgare",1,1
"197","Conyza bonariensis",1,1
"198","Conyza canadensis",1,1
"199","Conyza floribunda",0,0
"201","Coreopsis gigantea",0,0
"202","Corethrogyne filaginifolia",0,0
"203","Corethrogyne filaginifolia",0,0
"204","Corethrogyne filaginifolia",0,0
"205","Cotula australis",0,0
"206","Cotula coronopifolia",0,0
"207","Cynara cardunculus",0,0
"208","Cynara scolymus",0,0
"209","Deinandra clementina",0,0
"210","Deinandra fasciculata",0,0
"211","Deinandra increscens",0,0
"212","Eclipta prostrata",1,1
"213","Encelia californica",1,1
"214","Erechtites glomerata",0,0
"216","Ericameria ericoides",0,0
"217","Erigeron bonariensis",0,0
"218","Erigeron canadensis",1,1
"219","Erigeron concinnus",0,0
"220","Erigeron foliosus",0,0
"221","Erigeron foliosus",0,0
"222","Erigeron foliosus",0,0
"223","Erigeron glaucus",1,1
"224","Erigeron sanctarum",0,0
"226","Eriophyllum",0,0
"227","Eriophyllum confertiflorum",0,0
"228","Eriophyllum confertiflorum",0,0
"229","Eriophyllum staechadifolium",0,0
"230","Eriophyllum staechadifolium",0,0
"231","Eurybia radulina",0,0
"232","Filago arizonica",0,0
"233","Filago californica",0,0
"234","Filago gallica",0,0
"235","Gamochaeta ustulata",0,0
"237","Gnaphalium",0,0
"238","Gnaphalium bicolor",0,0
"239","Gnaphalium californicum",0,0
"240","Gnaphalium canescens",0,0
"241","Gnaphalium chilense",0,0
"243","Gnaphalium luteoalbum",0,0
"244","Gnaphalium microcephalum",0,0
"245","Gnaphalium palustre",0,0
"246","Gnaphalium purpureum",0,0
"247","Gnaphalium ramosissimum",0,0
"248","Grindelia camporum",1,1
"249","Grindelia latifolia",0,0
"250","Grindelia robusta",0,0
"251","Haplopappus detonsus",0,0
"253","Haplopappus squarrosus",0,0
"254","Haplopappus squarrosus",0,0
"255","Haplopappus venetus",0,0
"256","Haplopappus venetus",0,0
"257","Hazardia cana",0,0
"258","Hazardia detonsa",0,0
"259","Hazardia squarrosa",0,0
"260","Hazardia squarrosa",0,0
"261","Hazardia squarrosa",0,0
"262","Helianthus annuus",1,1
"263","Helianthus annuus",1,1
"264","Helminthotheca echioides",0,0
"265","Hemizonia fasciculata",0,0
"266","Hemizonia fitchii",0,0
"267","Hemizonia increscens",0,0
"268","Hemizonia increscens",0,0
"269","Hemizonia ramosissima",0,0
"270","Heterotheca grandiflora",0,0
"271","Hieracium",0,1
"272","Hieracium argutum",0,0
"273","Hieracium argutum",0,0
"274","Hypochaeris glabra",0,0
"275","Isocoma menziesii",0,0
"276","Isocoma menziesii",0,0
"277","Isocoma menziesii",0,0
"278","Isocoma menziesii",0,0
"279","Isocoma veneta",1,1
"281","Jaumea",0,0
"282","Jaumea carnosa",0,0
"283","Lactuca saligna",0,0
"284","Lactuca serriola",1,1
"286","Laennecia coulteri",0,0
"287","Lasthenia californica",0,0
"288","Lasthenia chrysostoma",0,0
"289","Lasthenia gracilis",0,0
"290","Layia",0,0
"291","Layia glandulosa",0,0
"292","Layia platyglossa",0,0
"293","Layia platyglossa",0,0
"294","Layia platyglossa",0,0
"295","Lepidospartum squamatum",1,1
"296","Leptosyne gigantea",0,0
"297","Lessingia filaginifolia",0,0
"298","Logfia arizonica",0,0
"299","Logfia filaginoides",0,0
"300","Logfia gallica",0,0
"301","Madia",0,0
"302","Madia exigua",0,0
"303","Madia gracilis",0,0
"304","Madia sativa",0,0
"305","Malacothrix",0,1
"306","Malacothrix coulteri",0,0
"307","Malacothrix foliosa",0,0
"308","Malacothrix indecora",0,0
"309","Malacothrix saxatilis",0,0
"310","Malacothrix saxatilis",0,0
"311","Malacothrix saxatilis",0,0
"312","Matricaria matricarioides",0,0
"313","Micropus",0,0
"314","Micropus californicus",0,0
"315","Micropus californicus",0,0
"316","Microseris",0,0
"317","Microseris douglasii",0,0
"318","Microseris douglasii",0,0
"319","Microseris douglasii",0,0
"320","Microseris douglasii",0,0
"322","Microseris elegans",0,0
"323","Microseris heterocarpa",0,0
"324","Microseris lindleyi",0,0
"325","Microseris linearifolia",0,0
"327","Perezia microcephala",0,0
"328","Perityle",0,0
"329","Perityle emoryi",0,0
"330","Pluchea odorata",0,0
"331","Pluchea odorata",0,0
"332","Pluchea purpurascens",0,0
"333","Pseudognaphalium",0,1
"334","Pseudognaphalium beneolens",0,0
"335","Pseudognaphalium biolettii",0,0
"336","Pseudognaphalium californicum",0,0
"337","Pseudognaphalium canescens",0,0
"338","Pseudognaphalium luteoalbum",0,0
"339","Pseudognaphalium microcephalum",0,0
"340","Pseudognaphalium ramosissimum",0,0
"341","Pseudognaphalium stramineum",0,0
"342","Psilocarphus tenellus",0,0
"343","Psilocarphus tenellus",0,0
"344","Rafinesquia californica",0,0
"348","Senecio aphanactis",0,0
"349","Senecio douglasii",0,0
"351","Senecio flaccidus",0,0
"352","Senecio flaccidus",0,0
"353","Senecio glomeratus",0,0
"354","Senecio mikanioides",0,0
"355","Senecio vulgaris",0,0
"356","Silybum marianum",1,1
"357","Solidago californica",0,0
"358","Solidago spathulata",0,0
"360","Sonchus asper",0,0
"361","Sonchus oleraceus",0,0
"362","Stebbinsoseris heterocarpa",0,0
"363","Stephanomeria",0,0
"364","Stephanomeria cichoriacea",0,0
"365","Stephanomeria diegensis",0,0
"366","Stephanomeria exigua",0,0
"367","Stephanomeria exigua",0,0
"368","Stephanomeria virgata",0,0
"369","Stephanomeria virgata",0,0
"370","Stylocline gnaphalioides",0,0
"371","Stylocline gnaphaloides",0,0
"372","Symphyotrichum chilense",1,1
"373","Symphyotrichum subspicatum",0,0
"374","Symphyotrichum subulatum",0,0
"375","Symphyotrichum subulatum",0,0
"376","Symphyotrichum subulatum",0,0
"377","Taraxacum",0,1
"378","Taraxacum erythrospermum",0,0
"379","Taraxacum laevigatum",0,0
"380","Taraxacum officinale",1,1
"381","Tragopogon",0,1
"382","Tragopogon porrifolius",0,0
"383","Uropappus lindleyi",0,0
"384","Venegasia carpesioides",0,0
"388","Xanthium spinosum",0,0
"389","Xanthium strumarium",0,0
"391","Batis maritima",0,0
"392","Berberis pinnata",0,0
"393","Berberis pinnata",0,0
"394","Berberis pinnata",0,0
"395","Mahonia pinnata",0,0
"396","Mahonia pinnata",0,0
"397","Mahonia pinnata",0,0
"398","Woodwardia",0,0
"399","Woodwardia fimbriata",0,0
"400","Ochroma lagopus",0,0
"401","Amsinckia intermedia",0,0
"402","Amsinckia",0,0
"403","Amsinckia intermedia",0,0
"404","Amsinckia menziesii",0,0
"405","Amsinckia menziesii",0,0
"406","Amsinckia menziesii",0,0
"407","Amsinckia retrorsa",0,0
"408","Amsinckia spectabilis",0,0
"409","Amsinckia spectabilis",0,0
"411","Cordia",0,1
"413","Cryptantha",0,0
"414","Cryptantha clevelandii",0,0
"415","Cryptantha clevelandii",0,0
"416","Cryptantha clevelandii",0,0
"418","Cryptantha leiocarpa",0,0
"419","Cryptantha maritima",0,0
"420","Cryptantha micromeres",0,0
"421","Cryptantha microstachys",0,0
"422","Cryptantha muricata",0,0
"423","Cryptantha muricata",0,0
"424","Emmenanthe penduliflora",0,0
"425","Eucrypta chrysanthemifolia",0,0
"426","Eucrypta chrysanthemifolia",0,0
"428","Heliotropium angiospermum",0,0
"429","Heliotropium curassavicum",1,1
"430","Heliotropium curassavicum",1,1
"431","Nemophila pedunculata",0,0
"432","Pectocarya heterocarpa",0,0
"433","Pectocarya linearis",0,0
"434","Pectocarya linearis",0,0
"435","Pectocarya linearis",0,0
"436","Pectocarya penicillata",0,0
"437","Phacelia cicutaria",0,0
"438","Phacelia cicutaria",0,0
"439","Phacelia cicutaria",0,0
"440","Phacelia distans",1,1
"441","Phacelia grandiflora",0,0
"442","Phacelia ramosissima",0,0
"443","Phacelia ramosissima",0,0
"444","Phacelia ramosissima",0,0
"445","Phacelia tanacetifolia",0,0
"446","Phacelia viscida",0,0
"448","Pholistoma auritum",0,0
"449","Pholistoma auritum",0,0
"450","Pholistoma racemosum",0,0
"451","Plagiobothrys",0,0
"452","Plagiobothrys acanthocarpus",0,0
"453","Plagiobothrys bracteatus",0,0
"454","Plagiobothrys californicus",0,0
"455","Plagiobothrys californicus",0,0
"456","Plagiobothrys canescens",0,0
"457","Plagiobothrys canescens",0,0
"458","Plagiobothrys canescens",0,0
"459","Plagiobothrys collinus",0,0
"460","Plagiobothrys collinus",0,0
"461","Plagiobothrys collinus",0,0
"462","Plagiobothrys collinus",0,0
"467","Arabis glabra",0,0
"468","Arabis maxima",0,0
"469","Athysanus pusillus",0,0
"470","Brassica",0,1
"471","Brassica geniculata",0,0
"472","Brassica juncea",0,0
"473","Brassica kaber",0,0
"474","Brassica nigra",1,1
"475","Brassica rapa",0,0
"476","Brassica rapa",0,0
"477","Cakile maritima",0,0
"478","Cakile maritima",0,0
"479","Capsella bursa-pastoris",1,1
"480","Cardamine californica",0,0
"481","Cardamine californica",0,0
"482","Cardamine californica",0,0
"483","Cardamine oligosperma",0,0
"484","Cardaria",0,0
"485","Cardaria draba",0,0
"487","Caulanthus inflatus",0,0
"488","Caulanthus lasiophyllus",0,0
"489","Dentaria californica",0,0
"490","Dentaria integrifolia",0,0
"491","Descurainia pinnata",1,1
"492","Descurainia pinnata",1,1
"493","Descurainia pinnata",1,1
"494","Draba cuneifolia",0,0
"495","Erysimum insulare",0,0
"496","Guillenia lasiophylla",0,0
"497","Hirschfeldia incana",0,0
"498","Hornungia procumbens",0,0
"499","Hutchinsia procumbens",0,0
"500","Lepidium draba",0,0
"501","Lepidium draba",0,0
"502","Lepidium lasiocarpum",0,0
"503","Lepidium latipes",0,0
"504","Lepidium latipes",0,0
"505","Lepidium nitidum",0,0
"506","Lepidium nitidum",0,0
"507","Lepidium oblongum",0,0
"508","Lepidium oblongum",0,0
"509","Lepidium oblongum",0,0
"510","Lepidium strictum",0,0
"511","Lepidium virginicum",1,1
"512","Lepidium virginicum",1,1
"513","Lepidium virginicum",1,1
"514","Nasturtium officinale",0,0
"515","Raphanus",0,1
"516","Raphanus raphanistrum",1,1
"517","Raphanus sativus",1,1
"519","Sinapis arvensis",0,0
"520","Sisymbrium officinale",0,0
"521","Thelypodium lasiophyllum",0,0
"523","Thysanocarpus",0,0
"524","Thysanocarpus curvipes",0,0
"525","Thysanocarpus curvipes",0,0
"526","Thysanocarpus curvipes",0,0
"527","Thysanocarpus curvipes",0,0
"529","Thysanocarpus laciniatus",0,0
"530","Thysanocarpus laciniatus",0,0
"531","Thysanocarpus laciniatus",0,0
"532","Turritis glabra",0,0
"535","Cylindropuntia alcahes",0,0
"536","Cylindropuntia prolifera",0,0
"538","Echinocereus brandegeei",0,0
"539","Ferocactus diguetii",0,0
"542","Opuntia ficus-indica",0,0
"543","Opuntia littoralis",0,0
"544","Opuntia oricola",0,0
"545","Opuntia prolifera",0,0
"546","Githopsis diffusa",0,0
"547","Lobelia erinus",0,0
"548","Triodanis biflora",0,0
"549","Cannabis sativa",0,0
"550","Centranthus ruber",0,0
"551","Kentranthus ruber",0,0
"552","Lonicera hispidula",0,0
"553","Lonicera hispidula",0,0
"554","Lonicera interrupta",0,0
"555","Lonicera subspicata",0,0
"556","Lonicera subspicata",0,0
"557","Lonicera subspicata",0,0
"558","Lonicera subspicata",0,0
"559","Plectritis ciliosa",0,0
"560","Sambucus nigra",1,1
"561","Symphoricarpos",0,1
"562","Symphoricarpos mollis",1,1
"563","Arenaria congesta",0,0
"564","Arenaria douglasii",0,0
"565","Cardionema",0,0
"567","Cardionema ramosissimum",0,0
"568","Cerastium",0,1
"569","Cerastium arvense",0,0
"570","Cerastium glomeratum",0,0
"571","Minuartia",0,1
"572","Minuartia douglasii",0,0
"573","Polycarpon depressum",0,0
"574","Polycarpon tetraphyllum",0,0
"575","Polycarpon tetraphyllum",0,0
"577","Sagina",0,0
"578","Sagina apetala",0,0
"579","Sagina decumbens",0,0
"580","Sagina decumbens",0,0
"581","Sagina occidentalis",0,0
"582","Silene",0,1
"583","Silene antirrhina",0,0
"584","Silene gallica",0,0
"585","Silene laciniata",0,0
"586","Silene laciniata",0,0
"587","Silene laciniata",0,0
"588","Silene multinervia",0,0
"589","Spergularia",0,0
"591","Spergularia bocconi",0,0
"592","Spergularia bocconii",0,0
"593","Spergularia macrotheca",0,0
"594","Spergularia macrotheca",0,0
"595","Spergularia marina",0,0
"596","Spergularia platensis",0,0
"597","Spergularia rubra",0,0
"598","Spergularia salina",0,0
"599","Spergularia villosa",0,0
"600","Stellaria media",1,1
"601","Stellaria neglecta",0,0
"602","Stellaria nitens",0,0
"603","Stellaria pallida",0,0
"607","Atriplex",0,1
"608","Atriplex argentea",0,0
"609","Atriplex barclayana",0,0
"610","Atriplex lentiformis",1,1
"611","Atriplex lentiformis",1,1
"612","Atriplex leucophylla",0,0
"613","Atriplex prostrata",0,0
"614","Atriplex semibaccata",0,0
"615","Atriplex serenana",0,0
"616","Atriplex triangularis",0,0
"617","Atriplex watsonii",0,0
"618","Beta macrocarpa",0,0
"619","Beta vulgaris",0,0
"621","Chenopodium album",1,1
"622","Chenopodium berlandieri",0,0
"624","Chenopodium berlandieri",0,0
"625","Chenopodium californicum",0,0
"626","Chenopodium murale",0,0
"627","Dysphania ambrosioides",0,0
"628","Extriplex californica",0,0
"629","Salicornia pacifica",0,0
"630","Salsola australis",0,0
"631","Salsola tragus",0,0
"632","Suaeda californica",0,0
"633","Suaeda taxifolia",0,0
"634","Chenopodium californicum",0,0
"638","Helianthemum scoparium",0,0
"640","Helianthemum scoparium",0,0
"641","Ambrosia chamissonis",0,0
"642","Baccharis plummerae",0,0
"643","Centaurea solstitialis",1,1
"644","Hazardia cana",0,0
"645","Layia platyglossa",0,0
"646","Perityle emoryi",0,0
"647","Calystegia macrostegia",0,0
"648","Calystegia macrostegia",0,0
"649","Calystegia macrostegia",0,0
"650","Calystegia macrostegia",0,0
"651","Calystegia macrostegia",0,0
"652","Calystegia soldanella",1,1
"653","Convolvulus",0,1
"654","Convolvulus arvensis",1,1
"655","Convolvulus simulans",0,0
"656","Cressa truxillensis",0,0
"657","Cuscuta",0,1
"658","Cuscuta californica",0,0
"659","Cuscuta ceanothi",0,0
"662","Cuscuta salina",0,0
"663","Cuscuta salina",0,0
"664","Cuscuta subinclusa",0,0
"665","Dichondra",0,0
"666","Dichondra occidentalis",0,0
"668","Crassula connata",0,0
"669","Crassula connata",0,0
"670","Crassula erecta",0,0
"672","Dudleya cespitosa",0,0
"674","Cucurbita foetidissima",1,1
"676","Marah",0,0
"677","Marah fabacea",0,0
"678","Marah fabaceus",0,0
"679","Marah fabaceus",0,0
"680","Marah guadalupensis",0,0
"681","Marah macrocarpa",0,0
"682","Marah macrocarpa",0,0
"683","Marah macrocarpus",0,0
"684","Marah macrocarpus",0,0
"687","Cupressus macrocarpa",0,0
"689","Bolboschoenus maritimus",0,0
"690","Bolboschoenus maritimus",0,0
"691","Carex",0,0
"692","Carex barbarae",0,0
"693","Carex globosa",0,0
"694","Carex gracilior",0,0
"695","Carex harfordii",0,0
"696","Carex praegracilis",0,0
"697","Carex schottii",0,0
"698","Carex senta",0,0
"699","Carex subbracteata",0,0
"701","Carex subfusca",0,0
"702","Carex triquetra",0,0
"703","Carex tumulicola",0,0
"704","Cyperus",0,0
"705","Cyperus alternifolius",0,0
"706","Cyperus eragrostis",0,0
"707","Cyperus odoratus",0,0
"708","Schoenoplectus californicus",0,0
"709","Schoenoplectus maritimus",0,0
"710","Schoenoplectus pungens",0,0
"711","Schoenoplectus pungens",0,0
"712","Scirpus",0,0
"713","Scirpus californicus",0,0
"714","Scirpus maritimus",0,0
"715","Pteridium aquilinum",0,0
"716","Pteridium aquilinum",0,0
"717","Dryopteris arguta",0,0
"718","Athyrium filix-femina",0,0
"719","Athyrium filix-femina",0,0
"720","Athyrium filix-femina",0,0
"721","Cystopteris fragilis",0,0
"722","Dryopteris arguta",0,0
"723","Polystichum munitum",0,0
"725","Equisetum hyemale",0,0
"726","Equisetum hyemale",0,0
"727","Equisetum laevigatum",0,0
"728","Equisetum telmateia",0,0
"729","Equisetum telmateia",0,0
"730","Equisetum telmateia",0,0
"731","Comarostaphylis diversifolia",0,0
"732","Arbutus menziesii",0,0
"733","Arctostaphylos",0,0
"734","Arctostaphylos catalinae",0,0
"735","Arctostaphylos crustacea",0,0
"736","Arctostaphylos crustacea",0,0
"737","Arctostaphylos crustacea",0,0
"738","Arctostaphylos crustacea",0,0
"739","Arctostaphylos glandulosa",0,0
"740","Arctostaphylos insularis",0,0
"742","Arctostaphylos insularis",0,0
"744","Arctostaphylos pechoensis",0,0
"745","Arctostaphylos subcordata",0,0
"746","Arctostaphylos tomentosa",0,0
"747","Arctostaphylos tomentosa",0,0
"748","Arctostaphylos tomentosa",0,0
"749","Arctostaphylos tomentosa",0,0
"750","Arctostaphylos tomentosa",0,0
"752","Arctostaphylos viridissima",0,0
"753","Comarostaphylis diversifolia",0,0
"754","Comarostaphylis diversifolia",0,0
"755","Comarostaphylis diversifolia",0,0
"756","Comarostaphylis diversifolia",0,0
"757","Vaccinium ovatum",0,0
"758","Croton setigerus",0,0
"759","Acalypha californica",0,0
"760","Bernardia viridis",0,0
"761","Chamaesyce maculata",0,0
"763","Croton setiger",1,1
"764","Croton setigerus",0,0
"765","Ditaxis lanceolata",0,0
"766","Eremocarpus setiger",0,0
"767","Eremocarpus setigerus",0,0
"768","Euphorbia",0,1
"769","Euphorbia lomelii",0,0
"770","Euphorbia maculata",0,0
"771","Euphorbia misella",0,0
"772","Euphorbia misera",0,0
"773","Euphorbia peplus",1,1
"774","Euphorbia polycarpa",0,0
"775","Euphorbia spathulata",0,0
"776","Jatropha cinerea",0,0
"777","Jatropha cuneata",0,0
"778","Stillingia linearifolia",0,0
"779","Acacia",0,1
"780","Acacia baileyana",0,0
"781","Acacia dealbata",0,0
"782","Acacia decurrens",0,0
"783","Acacia mearnsii",0,0
"784","Acacia melanoxylon",0,0
"786","Acmispon",0,1
"787","Acmispon americanus",1,1
"788","Acmispon americanus",1,1
"789","Acmispon argophyllus",0,0
"790","Acmispon argophyllus",0,0
"791","Acmispon argophyllus",0,0
"792","Acmispon argophyllus",0,0
"794","Acmispon dendroideus",0,0
"795","Acmispon dendroideus",0,0
"796","Acmispon dendroideus",0,0
"799","Acmispon grandiflorus",0,0
"800","Acmispon grandiflorus",0,0
"801","Acmispon maritimus",0,0
"802","Acmispon maritimus",0,0
"803","Acmispon micranthus",0,0
"804","Acmispon parviflorus",0,0
"805","Acmispon strigosus",0,0
"806","Acmispon wrangelianus",0,0
"807","Albizia distachya",0,0
"808","Albizia lophantha",0,0
"809","Astragalus",0,1
"810","Astragalus didymocarpus",0,0
"811","Astragalus didymocarpus",0,0
"812","Astragalus gambelianus",0,0
"813","Astragalus lentiginosus",0,0
"814","Astragalus miguelensis",0,0
"815","Astragalus trichopodus",0,0
"816","Astragalus trichopodus",0,0
"817","Astragalus trichopodus",0,0
"818","Astragalus trichopodus",0,0
"820","Ebenopsis confinis",0,0
"821","Genista monspessulana",0,0
"822","Lathyrus",0,1
"823","Lathyrus laetiflorus",0,0
"824","Lathyrus vestitus",0,0
"825","Lathyrus vestitus",0,0
"826","Lathyrus vestitus",0,0
"827","Lathyrus vestitus",0,0
"828","Lathyrus vestitus",0,0
"829","Lathyrus vestitus",0,0
"830","Lotus",0,1
"831","Lotus argophyllus",0,0
"832","Lotus argophyllus",0,0
"833","Lotus argophyllus",0,0
"834","Lotus argophyllus",0,0
"835","Lotus corniculatus",1,1
"836","Lotus dendroideus",0,0
"837","Lotus dendroideus",0,0
"838","Lotus grandiflorus",0,0
"839","Lotus grandiflorus",0,0
"840","Lotus hamatus",0,0
"841","Lotus micranthus",0,0
"843","Lotus salsuginosus",0,0
"844","Lotus salsuginosus",0,0
"845","Lotus scoparius",0,0
"847","Lotus scoparius",0,0
"848","Lotus scoparius",0,0
"849","Lotus strigosus",0,0
"850","Lotus strigosus",0,0
"851","Lotus subpinnatus",0,0
"852","Lotus unifoliolatus",0,0
"853","Lotus wrangelianus",0,0
"854","Lupinus",0,1
"855","Lupinus agardhianus",0,0
"856","Lupinus albifrons",0,0
"857","Lupinus albifrons",0,0
"858","Lupinus albifrons",0,0
"859","Lupinus arboreus",0,0
"860","Lupinus bicolor",0,0
"861","Lupinus bicolor",0,0
"862","Lupinus bicolor",0,0
"863","Lupinus bicolor",0,0
"864","Lupinus bicolor",0,0
"865","Lupinus bicolor",0,0
"866","Lupinus chamissonis",0,0
"867","Lupinus concinnus",0,0
"868","Lupinus concinnus",0,0
"869","Lupinus concinnus",0,0
"870","Lupinus densiflorus",0,0
"871","Lupinus densiflorus",0,0
"872","Lupinus densiflorus",0,0
"873","Lupinus hirsutissimus",0,0
"874","Lupinus microcarpus",0,0
"876","Lupinus microcarpus",0,0
"878","Lupinus subvexus",0,0
"879","Lupinus succulentus",0,0
"880","Lupinus truncatus",0,0
"882","Lysiloma candidum",0,0
"883","Medicago polymorpha",1,1
"884","Medicago polymorpha",1,1
"886","Medicago sativa",1,1
"887","Melilotus albus",1,1
"888","Melilotus indicus",0,0
"889","Parkinsonia florida",1,1
"890","Pickeringia montana",0,0
"891","Pickeringia montana",0,0
"892","Pisum sativum",0,0
"893","Robinia",0,1
"894","Robinia pseudoacacia",1,1
"895","Spartium junceum",0,0
"897","Trifolium",0,1
"898","Trifolium albopurpureum",0,0
"899","Trifolium amplectens",0,0
"901","Trifolium amplectens",0,0
"902","Trifolium barbigerum",0,0
"903","Trifolium ciliolatum",0,0
"904","Trifolium depauperatum",0,0
"906","Trifolium depauperatum",0,0
"907","Trifolium depauperatum",0,0
"908","Trifolium fucatum",0,0
"909","Trifolium fucatum",0,0
"910","Trifolium gambelii",0,0
"911","Trifolium gracilentum",0,0
"912","Trifolium gracilentum",0,0
"913","Trifolium macraei",0,0
"914","Trifolium macrocephalum",0,0
"915","Trifolium microcephalum",0,0
"916","Trifolium microdon",0,0
"917","Trifolium obtusiflorum",0,0
"918","Trifolium tridentatum",0,0
"919","Trifolium tridentatum",0,0
"921","Trifolium truncatum",0,0
"922","Trifolium variegatum",0,0
"923","Trifolium variegatum",0,0
