"","resolvedPlantNames","genus","resolvedBeeNames","sourceTaxonFamilyName","targetTaxonOrderName","targetTaxonFamilyName","plant_order","n"
"80","Cakile maritima","Cakile","Andrena prunorum","Andrenidae","Brassicales","Brassicaceae","Brassicales",2
"81","Cakile maritima","Cakile","Bombus melanopygus","Apidae","Brassicales","Brassicaceae","Brassicales",2
"82","Cakile maritima","Cakile","Bombus vosnesenskii","Apidae","Brassicales","Brassicaceae","Brassicales",11
"83","Cakile maritima","Cakile","Brachymelecta californica","Apidae","Brassicales","Brassicaceae","Brassicales",1
"84","Cakile maritima","Cakile","Ceratina acantha","Apidae","Brassicales","Brassicaceae","Brassicales",2
"85","Cakile maritima","Cakile","Halictus tripartitus","Halictidae","Brassicales","Brassicaceae","Brassicales",1
"86","Cakile maritima","Cakile","Lasioglossum perichlarus","Halictidae","Brassicales","Brassicaceae","Brassicales",6
"87","Calandrinia menziesii","Calandrinia","Augochlorella pomoniella","Halictidae","Caryophyllales","Montiaceae","Caryophyllales",1
"88","Calandrinia menziesii","Calandrinia","Bombus melanopygus","Apidae","Caryophyllales","Montiaceae","Caryophyllales",1
"89","Calandrinia menziesii","Calandrinia","Melecta separata","Apidae","Caryophyllales","Montiaceae","Caryophyllales",1
"90","Calochortus albus","Calochortus","Bombus melanopygus","Apidae","Liliales","Liliaceae","Liliales",1
"91","Calochortus catalinae","Calochortus","Diadasia bituberculata","Apidae","Liliales","Liliaceae","Liliales",1
"92","Calochortus catalinae","Calochortus","Megachile coquilletti","Megachilidae","Liliales","Liliaceae","Liliales",1
"93","Calochortus luteus","Calochortus","Agapostemon texanus","Halictidae","Liliales","Liliaceae","Liliales",3
"94","Calochortus luteus","Calochortus","Bombus melanopygus","Apidae","Liliales","Liliaceae","Liliales",1
"95","Calochortus luteus","Calochortus","Bombus vosnesenskii","Apidae","Liliales","Liliaceae","Liliales",6
"96","Calochortus luteus","Calochortus","Ceratina acantha","Apidae","Liliales","Liliaceae","Liliales",3
"97","Calochortus luteus","Calochortus","Halictus farinosus","Halictidae","Liliales","Liliaceae","Liliales",20
"98","Calochortus luteus","Calochortus","Halictus tripartitus","Halictidae","Liliales","Liliaceae","Liliales",47
"99","Calochortus luteus","Calochortus","Lasioglossum incompletum","Halictidae","Liliales","Liliaceae","Liliales",11
"100","Calochortus luteus","Calochortus","Lasioglossum mellipes","Halictidae","Liliales","Liliaceae","Liliales",1
"101","Calochortus luteus","Calochortus","Lasioglossum titusi","Halictidae","Liliales","Liliaceae","Liliales",1
"102","Calochortus luteus","Calochortus","Megachile brevis","Megachilidae","Liliales","Liliaceae","Liliales",1
"103","Calochortus luteus","Calochortus","Megachile coquilletti","Megachilidae","Liliales","Liliaceae","Liliales",3
"104","Calochortus luteus","Calochortus","Melissodes lupinus","Apidae","Liliales","Liliaceae","Liliales",5
"105","Calochortus luteus","Calochortus","Osmia nemoris","Megachilidae","Liliales","Liliaceae","Liliales",2
"106","Calystegia soldanella","Calystegia","Bombus melanopygus","Apidae","Solanales","Convolvulaceae","Solanales",1
"107","Capsella bursa-pastoris","Capsella","Agapostemon texanus","Halictidae","Brassicales","Brassicaceae","Brassicales",2
"108","Capsella bursa-pastoris","Capsella","Andrena anisochlora","Andrenidae","Brassicales","Brassicaceae","Brassicales",1
"109","Capsella bursa-pastoris","Capsella","Andrena caerulea","Andrenidae","Brassicales","Brassicaceae","Brassicales",2
"110","Capsella bursa-pastoris","Capsella","Bombus melanopygus","Apidae","Brassicales","Brassicaceae","Brassicales",1
"111","Capsella bursa-pastoris","Capsella","Bombus vosnesenskii","Apidae","Brassicales","Brassicaceae","Brassicales",1
"112","Capsella bursa-pastoris","Capsella","Halictus ligatus","Halictidae","Brassicales","Brassicaceae","Brassicales",2
"113","Capsella bursa-pastoris","Capsella","Halictus tripartitus","Halictidae","Brassicales","Brassicaceae","Brassicales",4
"114","Capsella bursa-pastoris","Capsella","Hylaeus mesillae","Colletidae","Brassicales","Brassicaceae","Brassicales",2
"115","Capsella bursa-pastoris","Capsella","Lasioglossum nevadense","Halictidae","Brassicales","Brassicaceae","Brassicales",3
"116","Carpobrotus chilensis","Carpobrotus","Agapostemon texanus","Halictidae","Caryophyllales","Aizoaceae","Caryophyllales",8
"117","Carpobrotus chilensis","Carpobrotus","Bombus melanopygus","Apidae","Caryophyllales","Aizoaceae","Caryophyllales",2
"118","Carpobrotus chilensis","Carpobrotus","Bombus vosnesenskii","Apidae","Caryophyllales","Aizoaceae","Caryophyllales",5
"119","Carpobrotus chilensis","Carpobrotus","Colletes hyalinus","Colletidae","Caryophyllales","Aizoaceae","Caryophyllales",1
"120","Carpobrotus chilensis","Carpobrotus","Eucera actuosa","Apidae","Caryophyllales","Aizoaceae","Caryophyllales",37
"121","Carpobrotus chilensis","Carpobrotus","Melecta separata","Apidae","Caryophyllales","Aizoaceae","Caryophyllales",4
"122","Castilleja attenuata","Castilleja","Bombus vosnesenskii","Apidae","Lamiales","Linderniaceae","Lamiales",1
"123","Castilleja densiflora","Castilleja","Bombus californicus","Apidae","Lamiales","Orobanchaceae","Lamiales",4
"124","Castilleja densiflora","Castilleja","Bombus melanopygus","Apidae","Lamiales","Orobanchaceae","Lamiales",1
"125","Castilleja densiflora","Castilleja","Bombus vosnesenskii","Apidae","Lamiales","Orobanchaceae","Lamiales",3
"126","Castilleja densiflora","Castilleja","Eucera frater","Apidae","Lamiales","Orobanchaceae","Lamiales",1
"127","Castilleja densiflora","Castilleja","Habropoda miserabilis","Apidae","Lamiales","Orobanchaceae","Lamiales",1
"128","Castilleja densiflora","Castilleja","Osmia nemoris","Megachilidae","Lamiales","Orobanchaceae","Lamiales",1
"129","Castilleja exserta","Castilleja","Bombus californicus","Apidae","Lamiales","Orobanchaceae","Lamiales",6
"130","Castilleja exserta","Castilleja","Bombus vosnesenskii","Apidae","Lamiales","Orobanchaceae","Lamiales",2
"131","Ceanothus arboreus","Ceanothus","Bombus melanopygus","Apidae","Rosales","Rhamnaceae","Rosales",3
"132","Ceanothus arboreus","Ceanothus","Bombus vosnesenskii","Apidae","Rosales","Rhamnaceae","Rosales",2
"133","Ceanothus arboreus","Ceanothus","Halictus tripartitus","Halictidae","Rosales","Rhamnaceae","Rosales",1
"134","Ceanothus arboreus","Ceanothus","Lasioglossum argemonis","Halictidae","Rosales","Rhamnaceae","Rosales",6
"135","Centaurea melitensis","Centaurea","Augochlorella pomoniella","Halictidae","Asterales","Asteraceae","Asterales",1
"136","Centaurea melitensis","Centaurea","Diadasia rinconis","Apidae","Asterales","Asteraceae","Asterales",2
"137","Centaurea melitensis","Centaurea","Halictus farinosus","Halictidae","Asterales","Asteraceae","Asterales",1
"138","Centaurea melitensis","Centaurea","Halictus ligatus","Halictidae","Asterales","Asteraceae","Asterales",2
"139","Centaurea melitensis","Centaurea","Megachile apicalis","Megachilidae","Asterales","Asteraceae","Asterales",2
"140","Centaurea melitensis","Centaurea","Melissodes lupinus","Apidae","Asterales","Asteraceae","Asterales",1
"141","Centaurea solstitialis","Centaurea","Agapostemon texanus","Halictidae","Asterales","Asteraceae","Asterales",5
"142","Centaurea solstitialis","Centaurea","Anthophora urbana","Apidae","Asterales","Asteraceae","Asterales",2
"143","Centaurea solstitialis","Centaurea","Augochlorella pomoniella","Halictidae","Asterales","Asteraceae","Asterales",2
"144","Centaurea solstitialis","Centaurea","Bombus californicus","Apidae","Asterales","Asteraceae","Asterales",16
"145","Centaurea solstitialis","Centaurea","Bombus vosnesenskii","Apidae","Asterales","Asteraceae","Asterales",30
"146","Centaurea solstitialis","Centaurea","Brachymelecta californica","Apidae","Asterales","Asteraceae","Asterales",1
"147","Centaurea solstitialis","Centaurea","Ceratina acantha","Apidae","Asterales","Asteraceae","Asterales",11
"148","Centaurea solstitialis","Centaurea","Halictus farinosus","Halictidae","Asterales","Asteraceae","Asterales",3
"149","Centaurea solstitialis","Centaurea","Halictus ligatus","Halictidae","Asterales","Asteraceae","Asterales",126
"150","Centaurea solstitialis","Centaurea","Halictus tripartitus","Halictidae","Asterales","Asteraceae","Asterales",124
"151","Centaurea solstitialis","Centaurea","Hylaeus mesillae","Colletidae","Asterales","Asteraceae","Asterales",2
"152","Centaurea solstitialis","Centaurea","Lasioglossum diversopunctatum","Halictidae","Asterales","Asteraceae","Asterales",7
"153","Centaurea solstitialis","Centaurea","Lasioglossum incompletum","Halictidae","Asterales","Asteraceae","Asterales",80
"154","Centaurea solstitialis","Centaurea","Lasioglossum tegulare","Halictidae","Asterales","Asteraceae","Asterales",1
"155","Centaurea solstitialis","Centaurea","Lasioglossum titusi","Halictidae","Asterales","Asteraceae","Asterales",1
"156","Centaurea solstitialis","Centaurea","Megachile apicalis","Megachilidae","Asterales","Asteraceae","Asterales",18
"157","Centaurea solstitialis","Centaurea","Megachile brevis","Megachilidae","Asterales","Asteraceae","Asterales",1
"158","Centaurea solstitialis","Centaurea","Megachile coquilletti","Megachilidae","Asterales","Asteraceae","Asterales",6
"159","Centaurea solstitialis","Centaurea","Megachile fidelis","Megachilidae","Asterales","Asteraceae","Asterales",2
"160","Centaurea solstitialis","Centaurea","Megachile montivaga","Megachilidae","Asterales","Asteraceae","Asterales",2
"161","Centaurea solstitialis","Centaurea","Megachile onobrychidis","Megachilidae","Asterales","Asteraceae","Asterales",8
"162","Centaurea solstitialis","Centaurea","Melissodes lupinus","Apidae","Asterales","Asteraceae","Asterales",46
"163","Centaurea solstitialis","Centaurea","Melissodes stearnsi","Apidae","Asterales","Asteraceae","Asterales",4
"164","Centaurea solstitialis","Centaurea","Triepeolus utahensis","Apidae","Asterales","Asteraceae","Asterales",1
"165","Centranthus ruber","Centranthus","Bombus melanopygus","Apidae","Dipsacales","Caprifoliaceae","Dipsacales",4
"166","Centranthus ruber","Centranthus","Bombus vosnesenskii","Apidae","Dipsacales","Caprifoliaceae","Dipsacales",4
"167","Centromadia fitchii","Centromadia","Megachile rotundata","Megachilidae","Asterales","Asteraceae","Asterales",1
"168","Cerastium glomeratum","Cerastium","Agapostemon texanus","Halictidae","Caryophyllales","Caryophyllaceae","Caryophyllales",3
"169","Cerastium glomeratum","Cerastium","Bombus vosnesenskii","Apidae","Caryophyllales","Caryophyllaceae","Caryophyllales",1
"170","Cichorium intybus","Cichorium","Agapostemon texanus","Halictidae","Asterales","Asteraceae","Asterales",3
"171","Cichorium intybus","Cichorium","Augochlorella pomoniella","Halictidae","Asterales","Asteraceae","Asterales",1
"172","Cichorium intybus","Cichorium","Bombus californicus","Apidae","Asterales","Asteraceae","Asterales",3
"173","Cichorium intybus","Cichorium","Bombus melanopygus","Apidae","Asterales","Asteraceae","Asterales",2
"174","Cichorium intybus","Cichorium","Bombus vosnesenskii","Apidae","Asterales","Asteraceae","Asterales",8
"175","Cichorium intybus","Cichorium","Halictus farinosus","Halictidae","Asterales","Asteraceae","Asterales",2
"176","Cichorium intybus","Cichorium","Halictus ligatus","Halictidae","Asterales","Asteraceae","Asterales",62
"177","Cichorium intybus","Cichorium","Halictus rubicundus","Halictidae","Asterales","Asteraceae","Asterales",8
"178","Cichorium intybus","Cichorium","Halictus tripartitus","Halictidae","Asterales","Asteraceae","Asterales",3
"179","Cichorium intybus","Cichorium","Megachile fidelis","Megachilidae","Asterales","Asteraceae","Asterales",2
"180","Cichorium intybus","Cichorium","Megachile montivaga","Megachilidae","Asterales","Asteraceae","Asterales",1
"181","Cirsium brevistylum","Cirsium","Bombus vosnesenskii","Apidae","Asterales","Asteraceae","Asterales",1
"182","Cirsium vulgare","Cirsium","Agapostemon texanus","Halictidae","Asterales","Asteraceae","Asterales",23
"183","Cirsium vulgare","Cirsium","Anthophora urbana","Apidae","Asterales","Asteraceae","Asterales",13
"184","Cirsium vulgare","Cirsium","Ashmeadiella cactorum","Megachilidae","Asterales","Asteraceae","Asterales",2
"185","Cirsium vulgare","Cirsium","Augochlorella pomoniella","Halictidae","Asterales","Asteraceae","Asterales",2
"186","Cirsium vulgare","Cirsium","Bombus californicus","Apidae","Asterales","Asteraceae","Asterales",50
"187","Cirsium vulgare","Cirsium","Bombus melanopygus","Apidae","Asterales","Asteraceae","Asterales",4
"188","Cirsium vulgare","Cirsium","Bombus vosnesenskii","Apidae","Asterales","Asteraceae","Asterales",87
"189","Cirsium vulgare","Cirsium","Brachymelecta californica","Apidae","Asterales","Asteraceae","Asterales",1
"190","Cirsium vulgare","Cirsium","Diadasia bituberculata","Apidae","Asterales","Asteraceae","Asterales",1
"191","Cirsium vulgare","Cirsium","Halictus farinosus","Halictidae","Asterales","Asteraceae","Asterales",3
"192","Cirsium vulgare","Cirsium","Halictus ligatus","Halictidae","Asterales","Asteraceae","Asterales",21
"193","Cirsium vulgare","Cirsium","Halictus rubicundus","Halictidae","Asterales","Asteraceae","Asterales",1
"194","Cirsium vulgare","Cirsium","Halictus tripartitus","Halictidae","Asterales","Asteraceae","Asterales",14
"195","Cirsium vulgare","Cirsium","Hylaeus mesillae","Colletidae","Asterales","Asteraceae","Asterales",2
"196","Cirsium vulgare","Cirsium","Lasioglossum albohirtum","Halictidae","Asterales","Asteraceae","Asterales",2
"197","Cirsium vulgare","Cirsium","Lasioglossum incompletum","Halictidae","Asterales","Asteraceae","Asterales",18
"198","Cirsium vulgare","Cirsium","Lasioglossum nevadense","Halictidae","Asterales","Asteraceae","Asterales",2
"199","Cirsium vulgare","Cirsium","Lasioglossum tegulare","Halictidae","Asterales","Asteraceae","Asterales",1
"200","Cirsium vulgare","Cirsium","Megachile apicalis","Megachilidae","Asterales","Asteraceae","Asterales",3
"201","Cirsium vulgare","Cirsium","Megachile brevis","Megachilidae","Asterales","Asteraceae","Asterales",2
"202","Cirsium vulgare","Cirsium","Megachile coquilletti","Megachilidae","Asterales","Asteraceae","Asterales",2
"203","Cirsium vulgare","Cirsium","Megachile fidelis","Megachilidae","Asterales","Asteraceae","Asterales",9
"204","Cirsium vulgare","Cirsium","Megachile montivaga","Megachilidae","Asterales","Asteraceae","Asterales",4
"205","Cirsium vulgare","Cirsium","Megachile rotundata","Megachilidae","Asterales","Asteraceae","Asterales",1
"206","Cirsium vulgare","Cirsium","Melissodes lupinus","Apidae","Asterales","Asteraceae","Asterales",6
"207","Cirsium vulgare","Cirsium","Osmia coloradensis","Megachilidae","Asterales","Asteraceae","Asterales",1
"208","Cirsium vulgare","Cirsium","Osmia laeta","Megachilidae","Asterales","Asteraceae","Asterales",1
"209","Clarkia unguiculata","Clarkia","Anthophora urbana","Apidae","Myrtales","Onagraceae","Myrtales",2
"210","Clarkia unguiculata","Clarkia","Bombus californicus","Apidae","Myrtales","Onagraceae","Myrtales",1
"211","Clarkia unguiculata","Clarkia","Bombus vosnesenskii","Apidae","Myrtales","Onagraceae","Myrtales",13
"212","Clarkia unguiculata","Clarkia","Halictus farinosus","Halictidae","Myrtales","Onagraceae","Myrtales",1
"213","Clarkia unguiculata","Clarkia","Halictus tripartitus","Halictidae","Myrtales","Onagraceae","Myrtales",5
"214","Clarkia unguiculata","Clarkia","Megachile onobrychidis","Megachilidae","Myrtales","Onagraceae","Myrtales",1
"215","Clarkia unguiculata","Clarkia","Melissodes lupinus","Apidae","Myrtales","Onagraceae","Myrtales",3
"216","Clematis ligusticifolia","Clematis","Halictus rubicundus","Halictidae","Ranunculales","Ranunculaceae","Ranunculales",1
"217","Clematis ligusticifolia","Clematis","Hylaeus mesillae","Colletidae","Ranunculales","Ranunculaceae","Ranunculales",1
"218","Clinopodium douglasii","Clinopodium","Bombus vosnesenskii","Apidae","Lamiales","Lamiaceae","Lamiales",2
"219","Clinopodium douglasii","Clinopodium","Osmia laeta","Megachilidae","Lamiales","Lamiaceae","Lamiales",2
"220","Clinopodium douglasii","Clinopodium","Protosmia rubifloris","Megachilidae","Lamiales","Lamiaceae","Lamiales",5
"221","Conium maculatum","Conium","Andrena candida","Andrenidae","Apiales","Apiaceae","Apiales",3
"222","Conium maculatum","Conium","Andrena prunorum","Andrenidae","Apiales","Apiaceae","Apiales",1
"223","Conium maculatum","Conium","Bombus melanopygus","Apidae","Apiales","Apiaceae","Apiales",1
"224","Conium maculatum","Conium","Bombus vosnesenskii","Apidae","Apiales","Apiaceae","Apiales",3
"225","Convolvulus arvensis","Convolvulus","Agapostemon texanus","Halictidae","Solanales","Convolvulaceae","Solanales",15
"226","Convolvulus arvensis","Convolvulus","Ashmeadiella cactorum","Megachilidae","Solanales","Convolvulaceae","Solanales",5
"227","Convolvulus arvensis","Convolvulus","Ashmeadiella opuntiae","Megachilidae","Solanales","Convolvulaceae","Solanales",3
"228","Convolvulus arvensis","Convolvulus","Augochlorella pomoniella","Halictidae","Solanales","Convolvulaceae","Solanales",8
"229","Convolvulus arvensis","Convolvulus","Bombus californicus","Apidae","Solanales","Convolvulaceae","Solanales",1
"230","Convolvulus arvensis","Convolvulus","Bombus vosnesenskii","Apidae","Solanales","Convolvulaceae","Solanales",3
"231","Convolvulus arvensis","Convolvulus","Ceratina acantha","Apidae","Solanales","Convolvulaceae","Solanales",7
"232","Convolvulus arvensis","Convolvulus","Diadasia bituberculata","Apidae","Solanales","Convolvulaceae","Solanales",2
"233","Convolvulus arvensis","Convolvulus","Diadasia ochracea","Apidae","Solanales","Convolvulaceae","Solanales",6
"234","Convolvulus arvensis","Convolvulus","Diadasia rinconis","Apidae","Solanales","Convolvulaceae","Solanales",1
"235","Convolvulus arvensis","Convolvulus","Dioxys productus","Megachilidae","Solanales","Convolvulaceae","Solanales",2
"236","Convolvulus arvensis","Convolvulus","Eucera actuosa","Apidae","Solanales","Convolvulaceae","Solanales",5
"237","Convolvulus arvensis","Convolvulus","Halictus farinosus","Halictidae","Solanales","Convolvulaceae","Solanales",1
"238","Convolvulus arvensis","Convolvulus","Halictus ligatus","Halictidae","Solanales","Convolvulaceae","Solanales",86
"239","Convolvulus arvensis","Convolvulus","Halictus rubicundus","Halictidae","Solanales","Convolvulaceae","Solanales",2
"240","Convolvulus arvensis","Convolvulus","Halictus tripartitus","Halictidae","Solanales","Convolvulaceae","Solanales",868
"241","Convolvulus arvensis","Convolvulus","Hylaeus mesillae","Colletidae","Solanales","Convolvulaceae","Solanales",6
"242","Convolvulus arvensis","Convolvulus","Lasioglossum channelense","Halictidae","Solanales","Convolvulaceae","Solanales",1
"243","Convolvulus arvensis","Convolvulus","Lasioglossum diversopunctatum","Halictidae","Solanales","Convolvulaceae","Solanales",25
"244","Convolvulus arvensis","Convolvulus","Lasioglossum incompletum","Halictidae","Solanales","Convolvulaceae","Solanales",759
"245","Convolvulus arvensis","Convolvulus","Lasioglossum kincaidii","Halictidae","Solanales","Convolvulaceae","Solanales",1
"246","Convolvulus arvensis","Convolvulus","Lasioglossum tegulare","Halictidae","Solanales","Convolvulaceae","Solanales",70
"247","Convolvulus arvensis","Convolvulus","Lasioglossum titusi","Halictidae","Solanales","Convolvulaceae","Solanales",1
"248","Convolvulus arvensis","Convolvulus","Megachile apicalis","Megachilidae","Solanales","Convolvulaceae","Solanales",1
