"","resolvedPlantNames","Family","Genus","Species","scientificName","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes"
"11","Conium maculatum","Apiaceae","Conium","maculatum","Conium maculatum","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"12","Daucus pusillus","Apiaceae","Daucus","pusillus","Daucus pusillus","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"13","Foeniculum vulgare","Apiaceae","Foeniculum","vulgare","Foeniculum vulgare","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"14","Lomatium utriculatum","Apiaceae","Lomatium","utriculatum","Lomatium utriculatum","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"15","Torilis arvensis","Apiaceae","Torilis","arvensis","Torilis arvensis","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"16","Asclepias fascicularis","Apocynaceae","Asclepias","fascicularis","Asclepias fascicularis","determinate",0,1,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA
"17","Vinca major","Apocynaceae","Vinca","major","Vinca major","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,NA
"18","Achillea millefolium","Asteraceae","Achillea","millefolium","Achillea millefolium","compound",0,0,1,"corymb","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA
"19","Acourtia microcephala","Asteraceae","Acourtia","microcephala","Acourtia microcephala","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"20","Agoseris grandiflora","Asteraceae","Agoseris","grandiflora","Agoseris grandiflora var. grandiflora","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"21","Ambrosia psilostachya","Asteraceae","Ambrosia","psilostachya","Ambrosia psilostachya","compound",0,0,1,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,NA
"22","Anthemis cotula","Asteraceae","Anthemis","cotula","Anthemis cotula","compound",0,0,1,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"23","Artemisia californica","Asteraceae","Artemisia","californica","Artemisia californica","compound",0,0,1,"raceme","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA
"24","Baccharis glutinosa","Asteraceae","Baccharis","glutinosa","Baccharis glutinosa","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"25","Baccharis pilularis","Asteraceae","Baccharis","pilularis","Baccharis pilularis ssp. consanguinea","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,NA
"26","Baccharis salicifolia","Asteraceae","Baccharis","salicifolia","Baccharis salicifolia subsp. salicifolia","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"27","Blennosperma nanum","Asteraceae","Blennosperma","nanum","Blennosperma nanum var. nanum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"28","Carduus pycnocephalus","Asteraceae","Carduus","pycnocephalus","Carduus pycnocephalus subsp. pycnocephalus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"29","Centaurea melitensis","Asteraceae","Centaurea","melitensis","Centaurea melitensis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA
"30","Centaurea solstitialis","Asteraceae","Centaurea","solstitialis","Centaurea solstitialis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"31","Centromadia fitchii","Asteraceae","Centromadia","fitchii","Centromadia fitchii","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"32","Cichorium intybus","Asteraceae","Cichorium","intybus","Cichorium intybus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"blue",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA
"33","Cirsium brevistylum","Asteraceae","Cirsium","brevistylum","Cirsium brevistylum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"34","Cirsium vulgare","Asteraceae","Cirsium","vulgare","Cirsium vulgare","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA
"35","Corethrogyne filaginifolia","Asteraceae","Corethrogyne","filaginifolia","Corethrogyne filaginifolia","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"36","Cynara cardunculus","Asteraceae","Cynara","cardunculus","Cynara cardunculus subsp. flavescens","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"37","Deinandra fasciculata","Asteraceae","Deinandra","fasciculata","Deinandra fasciculata","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"38","Ericameria ericoides","Asteraceae","Ericameria","ericoides","Ericameria ericoides","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA
"39","Erigeron bonariensis","Asteraceae","Erigeron","bonariensis","Erigeron bonariensis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"40","Erigeron canadensis","Asteraceae","Erigeron","canadensis","Erigeron canadensis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA
"41","Erigeron foliosus","Asteraceae","Erigeron","foliosus","Erigeron foliosus var. foliosus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,"calflora without subspp"
"42","Erigeron glaucus","Asteraceae","Erigeron","glaucus","Erigeron glaucus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,NA
"43","Erigeron sumatrensis","Asteraceae","Erigeron","sumatrensis","Erigeron sumatrensis","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"44","Eriophyllum confertiflorum","Asteraceae","Eriophyllum","confertiflorum","Eriophyllum confertiflorum var. confertiflorum","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,"no subspecies"
"45","Eriophyllum staechadifolium","Asteraceae","Eriophyllum","staechadifolium","Eriophyllum staechadifolium","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"46","Glebionis coronaria","Asteraceae","Glebionis","coronaria","Glebionis coronaria","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"47","Hazardia squarrosa","Asteraceae","Hazardia","squarrosa","Hazardia squarrosa var. grindelioides","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"48","Helianthus annuus","Asteraceae","Helianthus","annuus","Helianthus annuus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"49","Helminthotheca echioides","Asteraceae","Helminthotheca","echioides","Helminthotheca echioides","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA
"50","Heterotheca grandiflora","Asteraceae","Heterotheca","grandiflora","Heterotheca grandiflora","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"51","Hypochaeris glabra","Asteraceae","Hypochaeris","glabra","Hypochaeris glabra","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"52","Jaumea carnosa","Asteraceae","Jaumea","carnosa","Jaumea carnosa","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"53","Lactuca serriola","Asteraceae","Lactuca","serriola","Lactuca serriola","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"54","Laennecia coulteri","Asteraceae","Laennecia","coulteri","Laennecia coulteri","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,NA
"55","Lasthenia gracilis","Asteraceae","Lasthenia","gracilis","Lasthenia gracilis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"56","Layia platyglossa","Asteraceae","Layia","platyglossa","Layia platyglossa","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"57","Lepidospartum squamatum","Asteraceae","Lepidospartum","squamatum","Lepidospartum squamatum","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,NA
"58","Madia exigua","Asteraceae","Madia","exigua","Madia exigua","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"59","Madia gracilis","Asteraceae","Madia","gracilis","Madia gracilis","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"60","Madia sativa","Asteraceae","Madia","sativa","Madia sativa","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"61","Malacothrix saxatilis","Asteraceae","Malacothrix","saxatilis","Malacothrix saxatilis var. implicata","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA
"62","Matricaria discoidea","Asteraceae","Matricaria","discoidea","Matricaria discoidea","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"63","Perityle emoryi","Asteraceae","Perityle","emoryi","Perityle emoryi","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,NA
"64","Pluchea odorata","Asteraceae","Pluchea","odorata","Pluchea odorata var. odorata","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA
"65","Pseudognaphalium beneolens","Asteraceae","Pseudognaphalium","beneolens","Pseudognaphalium beneolens","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"66","Pseudognaphalium biolettii","Asteraceae","Pseudognaphalium","biolettii","Pseudognaphalium biolettii","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,NA
"67","Pseudognaphalium californicum","Asteraceae","Pseudognaphalium","californicum","Pseudognaphalium californicum","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,NA
"68","Rafinesquia californica","Asteraceae","Rafinesquia","californica","Rafinesquia californica","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"69","Senecio flaccidus","Asteraceae","Senecio","flaccidus","Senecio flaccidus var. douglasii","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"70","Senecio vulgaris","Asteraceae","Senecio","vulgaris","Senecio vulgaris","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"71","Solidago velutina","Asteraceae","Solidago","velutina","Solidago velutina subsp. californica","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"72","Sonchus asper","Asteraceae","Sonchus","asper","Sonchus asper subsp. asper","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,NA
"73","Sonchus oleraceus","Asteraceae","Sonchus","oleraceus","Sonchus oleraceus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"74","Stephanomeria diegensis","Asteraceae","Stephanomeria","diegensis","Stephanomeria diegensis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,NA
"75","Stephanomeria exigua","Asteraceae","Stephanomeria","exigua","Stephanomeria exigua ssp. coronaria","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA
"76","Stephanomeria virgata","Asteraceae","Stephanomeria","virgata","Stephanomeria virgata subsp. virgata","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,NA
"77","Symphyotrichum chilense","Asteraceae","Symphyotrichum","chilense","Symphyotrichum chilense","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
"78","Symphyotrichum subulatum","Asteraceae","Symphyotrichum","subulatum","Symphyotrichum subulatum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"79","Taraxacum erythrospermum","Asteraceae","Taraxacum","erythrospermum","Taraxacum erythrospermum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"80","Taraxacum officinale","Asteraceae","Taraxacum","officinale","Taraxacum officinale","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"81","Tragopogon porrifolius","Asteraceae","Tragopogon","porrifolius","Tragopogon porrifolius","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"82","Urospermum picroides","Asteraceae","Urospermum","picroides","Urospermum picroides","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"83","Venegasia carpesioides","Asteraceae","Venegasia","carpesioides","Venegasia carpesioides","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"84","Berberis pinnata","Berberidaceae","Berberis","pinnata","Berberis pinnata ssp. insularis","determinate",0,1,0,"botryoid","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"85","Amsinckia spectabilis","Boraginaceae","Amsinckia","spectabilis","Amsinckia spectabilis var. spectabilis","determinate",0,1,0,"cincinnus","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"86","Cryptantha clevelandii","Boraginaceae","Cryptantha","clevelandii","Cryptantha clevelandii","determinate",0,1,0,"cyme","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"87","Cryptantha muricata","Boraginaceae","Cryptantha","muricata","Cryptantha muricata","determinate",0,1,0,"cincinnus","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA
"88","Brassica nigra","Brassicaceae","Brassica","nigra","Brassica nigra","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"89","Brassica rapa","Brassicaceae","Brassica","rapa","Brassica rapa","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,NA
"90","Cakile maritima","Brassicaceae","Cakile","maritima","Cakile maritima","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"91","Capsella bursa-pastoris","Brassicaceae","Capsella","bursa-pastoris","Capsella bursa-pastoris","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"92","Cardamine californica","Brassicaceae","Cardamine","californica","Cardamine californica","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"93","Descurainia pinnata","Brassicaceae","Descurainia","pinnata","Descurainia pinnata","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"94","Hirschfeldia incana","Brassicaceae","Hirschfeldia","incana","Hirschfeldia incana","indeterminate",1,0,0,"cluster","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"95","Lepidium draba","Brassicaceae","Lepidium","draba","Lepidium draba","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,NA
"96","Lepidium virginicum","Brassicaceae","Lepidium","virginicum","Lepidium virginicum subsp. menziesii","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,NA
"97","Nasturtium officinale","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","indeterminate",1,0,0,"racemose","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"98","Sinapis arvensis","Brassicaceae","Sinapis","arvensis","Sinapis arvensis","indeterminate",1,0,0,"racemose","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA
"99","Sisymbrium officinale","Brassicaceae","Sisymbrium","officinale","Sisymbrium officinale","indeterminate",1,0,0,"raceme","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"100","Turritis glabra","Brassicaceae","Turritis","glabra","Turritis glabra","indeterminate",1,0,0,"racemose","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"101","Cylindropuntia prolifera","Cactaceae","Cylindropuntia","prolifera","Cylindropuntia prolifera","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"102","Opuntia ficus-indica","Cactaceae","Opuntia","ficus-indica","Opuntia ficus-indica","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
"103","Opuntia littoralis","Cactaceae","Opuntia","littoralis","Opuntia littoralis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"104","Lonicera hispidula","Caprifoliaceae","Lonicera","hispidula","Lonicera hispidula","determinate",0,1,0,"cluster","bilateral",0,1,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"105","Symphoricarpos mollis","Caprifoliaceae","Symphoricarpos","mollis","Symphoricarpos mollis","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"106","Cerastium glomeratum","Caryophyllaceae","Cerastium","glomeratum","Cerastium glomeratum","determinate",0,1,0,"racemose","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"107","Minuartia douglasii","Caryophyllaceae","Minuartia","douglasii","Minuartia douglasii","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"108","Silene gallica","Caryophyllaceae","Silene","gallica","Silene gallica","determinate",0,1,0,"drepanium","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,NA
"109","Silene laciniata","Caryophyllaceae","Silene","laciniata","Silene laciniata ssp. laciniata","determinate",0,1,0,"cluster","radial",1,0,"tube",0,1,0,"red",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"110","Stellaria media","Caryophyllaceae","Stellaria","media","Stellaria media","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,NA
"111","Atriplex lentiformis","Chenopodiaceae","Atriplex","lentiformis","Atriplex lentiformis",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
