genus,subgenera,specificEpithet,infraSpecificEpithet,Notes,scientificName,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Panurginus,NA,melanocephalus,NA,NA,Panurginus melanocephalus,0,1,1,1,1,0,0,0,0,0,0,0
Perdita,NA,layiae,NA,NA,Perdita layiae,0,0,0,1,1,0,0,0,0,0,0,0
Anthophora,NA,californica,NA,NA,Anthophora californica,0,1,1,1,1,1,1,1,1,1,1,0
Anthophora,NA,edwardsii,NA,NA,Anthophora edwardsii,0,1,1,1,1,1,1,1,0,0,0,0
Anthophora,NA,urbana,NA,NA,Anthophora urbana,1,1,1,1,1,1,1,1,1,1,1,1
Apis,NA,mellifera,NA,NA,Apis mellifera,1,1,1,1,1,1,1,1,1,1,1,1
Bombus,NA,californicus,NA,NA,Bombus californicus,1,1,1,1,1,1,1,1,1,1,1,1
Bombus,NA,crotchii,NA,NA,Bombus crotchii,1,1,1,1,1,1,1,1,1,1,0,0
Bombus,NA,melanopygus,NA,NA,Bombus melanopygus,1,1,1,1,1,1,1,1,1,1,1,1
Bombus,NA,occidentalis,NA,NA,Bombus occidentalis,1,1,1,1,1,1,1,1,1,1,1,1
Bombus,NA,vosnesenskii,NA,NA,Bombus vosnesenskii,1,1,1,1,1,1,1,1,1,1,1,1
Ceratina,NA,acantha,NA,NA,Ceratina acantha,1,1,1,1,1,1,1,1,1,1,1,1
Ceratina,NA,nanula,NA,NA,Ceratina nanula,0,0,1,1,1,1,1,1,1,1,1,1
Diadasia,NA,australis,NA,NA,Diadasia australis,0,0,0,1,1,1,1,1,1,1,1,0
Diadasia,NA,bituberculata,NA,NA,Diadasia bituberculata,0,0,0,1,1,1,1,1,0,0,0,0
Diadasia,NA,nigrifrons,NA,NA,Diadasia nigrifrons,0,0,0,1,1,1,0,0,0,0,0,0
Diadasia,NA,nitidifrons,NA,NA,Diadasia nitidifrons,0,0,1,1,1,1,1,1,1,0,0,0
Diadasia,NA,ochracea,NA,NA,Diadasia ochracea,0,0,0,1,1,1,1,1,1,0,0,0
Diadasia,NA,rinconis,NA,NA,Diadasia rinconis,0,0,0,1,1,1,1,1,1,1,0,0
Epeolus,NA,minimus,NA,NA,Epeolus minimus,0,0,0,0,1,1,1,1,1,0,0,0
Eucera,NA,actuosa,NA,NA,Eucera actuosa,0,0,1,1,1,1,0,0,0,0,0,0
Eucera,NA,amsinckiae,NA,NA,Eucera amsinckiae,0,0,1,1,1,1,0,0,0,0,0,0
Eucera,NA,edwardsii,NA,NA,Eucera edwardsii,0,0,0,1,1,1,0,0,0,0,0,0
Eucera,NA,frater,NA,NA,Eucera frater,0,0,1,1,0,0,0,0,0,0,0,0
Eucera,NA,lunata,NA,NA,Eucera lunata,0,1,1,1,1,1,0,0,0,0,0,0
Anthophorula,NA,cerei,NA,NA,Anthophorula cerei,0,0,0,0,1,1,0,0,0,0,0,0
Habropoda,NA,depressa,NA,NA,Habropoda depressa,0,1,1,1,1,1,0,0,0,0,0,0
Habropoda,NA,miserabilis,NA,NA,Habropoda miserabilis,0,0,1,1,1,1,1,0,0,0,0,0
Melecta,NA,separata,NA,NA,Melecta separata,0,1,1,1,0,0,0,0,0,0,0,0
Melissodes,NA,lupinus,NA,NA,Melissodes lupinus,0,0,1,1,1,1,1,1,1,1,0,0
Melissodes,NA,lustrus,NA,NA,Melissodes lustrus,0,0,0,0,0,0,0,0,1,0,0,0
Melissodes,NA,stearnsi,NA,NA,Melissodes stearnsi,0,0,1,1,1,1,1,1,1,1,0,0
Melissodes,NA,tepidus,NA,NA,Melissodes tepidus,0,0,0,0,1,1,1,1,1,1,0,0
Nomada,NA,edwardsii,NA,NA,Nomada edwardsii,0,0,1,1,1,1,0,0,0,0,0,0
Nomada,NA,formula,NA,NA,Nomada formula,0,0,0,0,0,1,1,1,1,0,0,0
Nomada,NA,hesperia,NA,NA,Nomada hesperia,0,0,1,1,1,1,1,0,0,0,0,0
Nomada,NA,semisuavis,NA,NA,Nomada semisuavis,0,0,0,0,0,0,0,0,0,0,0,0
Nomada,NA,suavis,NA,NA,Nomada suavis,0,0,0,1,1,1,1,1,0,0,0,0
Triepeolus,NA,utahensis,NA,NA,Triepeolus utahensis,0,0,0,0,0,1,1,1,1,1,0,0
Brachymelecta,NA,californica,NA,NA,Brachymelecta californica,0,0,1,1,1,1,1,1,1,1,1,0
Colletes,NA,hyalinus,NA,NA,Colletes hyalinus,0,0,0,1,1,1,1,1,1,1,0,0
Colletes,NA,kincaidii,NA,NA,Colletes kincaidii,0,1,1,1,1,1,1,1,1,0,0,0
Colletes,NA,slevini,NA,NA,Colletes slevini,0,1,1,1,1,1,1,1,1,1,1,0
Hylaeus,NA,mesillae,NA,NA,Hylaeus mesillae,0,0,1,1,1,1,1,1,1,1,0,0
Hylaeus,NA,polifolii,NA,NA,Hylaeus polifolii,0,0,1,1,1,1,1,1,1,1,0,0
Hylaeus,NA,rudbeckiae,NA,NA,Hylaeus rudbeckiae,0,0,1,1,1,1,1,1,1,1,0,0
Agapostemon,NA,texanus,NA,NA,Agapostemon texanus,1,1,1,1,1,1,1,1,1,1,1,1
Augochlorella,NA,pomoniella,NA,NA,Augochlorella pomoniella,1,1,1,1,1,1,1,1,1,1,1,1
Halictus,NA,farinosus,NA,NA,Halictus farinosus,1,1,1,1,1,1,1,1,1,1,0,0
Halictus,NA,harmonius,NA,NA,Halictus harmonius,0,0,0,0,1,1,1,1,1,1,0,0
Halictus,NA,ligatus,NA,NA,Halictus ligatus,1,1,1,1,1,1,1,1,1,1,1,1
Halictus,NA,rubicundus,NA,NA,Halictus rubicundus,0,0,1,1,1,1,1,1,1,1,0,0
Halictus,NA,tripartitus,NA,NA,Halictus tripartitus,1,1,1,1,1,1,1,1,1,1,1,1
Lasioglossum,NA,albohirtum,NA,NA,Lasioglossum albohirtum,0,0,0,0,1,0,0,0,0,0,0,0
Lasioglossum,NA,argemonis,NA,NA,Lasioglossum argemonis,0,0,1,1,0,0,0,0,1,0,0,0
Lasioglossum,NA,avalonense,NA,NA,Lasioglossum avalonense,0,0,0,1,1,1,1,1,1,1,0,0
Lasioglossum,NA,brunneiventre,NA,NA,Lasioglossum brunneiventre,0,0,0,1,1,1,1,1,1,1,1,0
Lasioglossum,NA,cabrilli,NA,NA,Lasioglossum cabrilli,0,0,0,1,1,1,1,1,1,1,0,0
Lasioglossum,NA,californiae,NA,NA,Lasioglossum californiae,0,0,0,1,0,0,0,0,0,0,0,0
Lasioglossum,NA,channelense,NA,NA,Lasioglossum channelense,0,0,1,1,1,1,1,1,1,1,0,0
Lasioglossum,NA,diversopunctatum,NA,NA,Lasioglossum diversopunctatum,0,0,0,1,1,1,1,1,1,1,1,0
Lasioglossum,NA,hammondi,NA,NA,Lasioglossum hammondi,0,0,0,1,1,1,1,1,1,1,0,0
Lasioglossum,NA,hyalinum,NA,NA,Lasioglossum hyalinum,0,1,1,1,1,1,1,1,1,0,0,0
Lasioglossum,NA,incompletum,NA,NA,Lasioglossum incompletum,0,1,1,1,1,1,1,1,1,1,1,0
Lasioglossum,NA,kincaidii,NA,NA,Lasioglossum kincaidii,0,0,1,1,1,1,1,1,1,1,0,0
Lasioglossum,NA,mellipes,NA,NA,Lasioglossum mellipes,0,1,1,1,1,1,1,1,1,1,1,0
Lasioglossum,NA,microlepoides,NA,NA,Lasioglossum microlepoides,0,0,1,1,1,1,1,1,1,1,1,0
Lasioglossum,NA,miguelense,NA,NA,Lasioglossum miguelense,0,0,1,1,1,0,0,0,0,0,0,0
Lasioglossum,NA,nevadense,NA,NA,Lasioglossum nevadense,0,1,1,1,1,1,1,1,1,1,0,0
Lasioglossum,NA,nigrescens,NA,NA,Lasioglossum nigrescens,0,0,0,0,0,1,0,0,0,0,0,0
Lasioglossum,NA,ovaliceps,NA,NA,Lasioglossum ovaliceps,0,0,0,1,1,1,0,0,0,1,0,0
Lasioglossum,NA,perichlarus,NA,NA,Lasioglossum perichlarus,0,0,0,0,1,1,0,0,0,0,0,0
Lasioglossum,NA,punctatoventre,NA,NA,Lasioglossum punctatoventre,0,0,1,1,1,1,0,0,0,0,0,0
Lasioglossum,NA,tegulare,NA,NA,Lasioglossum tegulare,0,1,1,1,1,1,1,0,0,0,0,0
Lasioglossum,NA,titusi,NA,NA,Lasioglossum titusi,1,1,1,1,1,1,1,1,1,1,1,1
Sphecodes,NA,sp.,NA,No species name,Sphecodes,0,1,1,1,1,1,1,1,1,1,1,0
Anthidium,NA,collectum,NA,NA,Anthidium collectum,0,0,0,1,1,1,1,1,1,0,0,0
Anthidium,NA,illustre,NA,NA,Anthidium illustre,0,0,1,1,1,1,1,0,0,0,0,0
Anthidium,NA,maculosum,NA,NA,Anthidium maculosum,0,0,0,1,1,1,1,1,1,1,1,0
Ashmeadiella,NA,cactorum,NA,NA,Ashmeadiella cactorum,0,0,0,1,1,1,1,1,1,0,0,0
Ashmeadiella,NA,chumashae,NA,NA,Ashmeadiella chumashae,0,0,0,0,1,0,0,0,0,0,0,0
Ashmeadiella,NA,cubiceps,NA,NA,Ashmeadiella cubiceps,0,0,0,1,1,1,1,1,0,0,0,0
Ashmeadiella,NA,opuntiae,NA,NA,Ashmeadiella opuntiae,0,0,0,1,1,1,1,1,0,0,0,0
Ashmeadiella,NA,timberlakei,NA,NA,Ashmeadiella timberlakei,0,0,1,1,1,1,1,1,0,0,0,0
Ashmeadiella,NA,xenomastax,NA,NA,Ashmeadiella xenomastax,0,0,1,1,1,1,1,0,0,0,0,0
Atoposmia,NA,copelandica,NA,NA,Atoposmia copelandica,0,0,0,1,0,0,0,0,0,0,0,0
Coelioxys,NA,octodentatus,NA,NA,Coelioxys octodentatus,0,0,0,0,1,1,1,1,1,1,1,0
Dioxys,NA,productus,NA,NA,Dioxys productus,0,0,0,0,0,0,0,0,0,0,0,0
Megachile,NA,angelarum,NA,NA,Megachile angelarum,0,0,0,1,1,1,1,1,1,1,0,0
Megachile,NA,apicalis,NA,NA,Megachile apicalis,0,0,0,1,1,1,1,1,1,1,0,0
Megachile,NA,brevis,NA,NA,Megachile brevis,0,0,1,1,1,1,1,1,1,1,0,0
Megachile,NA,coquilletti,NA,NA,Megachile coquilletti,0,0,1,1,1,1,1,1,1,1,0,0
Megachile,NA,fidelis,NA,NA,Megachile fidelis,0,0,0,0,1,1,1,1,1,1,0,0
Megachile,NA,montivaga,NA,NA,Megachile montivaga,0,0,0,1,1,1,1,1,1,1,0,0
Megachile,NA,onobrychidis,NA,NA,Megachile onobrychidis,0,0,0,1,1,1,1,1,1,1,0,0
Megachile,NA,rotundata,NA,NA,Megachile rotundata,1,1,1,1,1,1,1,1,1,1,1,1
Osmia,NA,albolateralis,NA,NA,Osmia albolateralis,0,0,1,1,1,1,1,1,1,0,0,0
Osmia,NA,austromaritima,NA,NA,Osmia austromaritima,0,0,1,1,0,0,0,0,0,0,0,0
Osmia,NA,bruneri,NA,NA,Osmia bruneri,0,0,0,1,1,1,1,1,0,0,0,0
Osmia,NA,californica,NA,NA,Osmia californica,0,0,1,1,1,1,1,0,0,0,0,0
Osmia,NA,calla,NA,NA,Osmia calla,0,0,0,1,1,1,1,1,0,0,0,0
Osmia,NA,clarescens,NA,NA,Osmia clarescens,1,1,1,1,1,1,0,0,0,0,0,0
Osmia,NA,coloradensis,NA,NA,Osmia coloradensis,0,0,1,1,1,1,1,1,1,1,0,0
Osmia,NA,gabrielis,NA,NA,Osmia gabrielis,0,0,1,1,1,1,1,0,0,0,1,0
Osmia,NA,gaudiosa,NA,NA,Osmia gaudiosa,0,0,1,1,1,1,1,1,0,0,0,0
Osmia,NA,kincaidii,NA,NA,Osmia kincaidii,0,0,1,1,1,1,1,0,0,0,0,0
Osmia,NA,laeta,NA,NA,Osmia laeta,0,0,0,1,1,1,1,0,0,0,0,0
Osmia,NA,nemoris,NA,NA,Osmia nemoris,0,0,1,1,1,1,1,1,0,0,0,0
Osmia,NA,tristella,NA,NA,Osmia tristella,0,1,1,1,1,1,1,1,0,0,0,0
Protosmia,NA,rubifloris,NA,NA,Protosmia rubifloris,0,0,1,1,1,1,1,0,0,0,0,0
Stelis,NA,sp.,NA,No species name,Stelis,0,0,1,1,1,1,1,1,0,0,0,0
